Frame,angry,disgust,fear,happy,sad,surprise,neutral
1,0.12839145492762327,6.791387520714218e-12,99.85567927360535,0.012550005340017378,6.575886004611675e-05,0.0033134670957224444,4.09139583323892e-08
2,0.051262014312669635,1.3177957328331692e-12,99.31807518005371,0.054137903498485684,1.577916748374264e-05,0.5765082780271769,8.671861007059078e-08
3,0.005598198155788409,7.795333616678879e-14,92.70086244945898,0.022354085981530606,2.3827000460665933e-06,7.271189675998072,1.1139269338084033e-08
4,0.0010992976967827417,6.983631140156546e-15,79.95300889015198,0.013756175758317113,8.134941609228008e-07,20.032143592834473,3.0523753663525e-09
5,0.0005168716436424802,1.7630947336294928e-15,46.888578308990205,0.006686555501419023,1.0987182297595193e-06,53.1042154903155,4.016623707212911e-09
6,0.0011754144907172304,4.46842320666292e-20,99.92825388908386,2.863955190487771e-13,0.024170726828742772,6.980207558626716e-05,0.046329060569405556
7,0.0209903038921766,3.289768583905674e-19,99.79550838470459,1.8398887150156487e-12,0.04008347459603101,1.8210525354334095e-05,0.143402349203825
8,0.006799000964458802,1.0738244712000211e-19,99.9921441096916,8.368376050736307e-13,0.0003255760836074688,5.549629120944722e-06,0.0007209113491784731
9,0.003764934081118554,2.4547513640113085e-20,99.99614953994751,1.1920273490886087e-12,2.901310551806091e-05,2.12684962974663e-06,5.887283123229281e-05
10,0.00047975076995498966,6.3541975987309005e-21,99.9865174293518,1.6997447210243487e-13,0.0016314552340190858,7.230458010099028e-06,0.011364768579369411
11,1.771838356035005e-05,7.450570153054841e-25,99.99996423721313,4.45383687951704e-14,1.080040501477697e-07,1.788323658047375e-05,8.041998178498488e-07
12,1.4180982754836384e-09,1.2767772771401455e-26,99.99991059302751,4.294558369686025e-17,1.2874748909994314e-09,8.997994850408387e-05,1.52523781782802e-10
13,7.001660969757628e-10,5.823257202335129e-28,99.99960660934448,6.556495260210988e-18,6.178634535426719e-11,0.0003975686013291124,1.3351509297026415e-11
14,1.3124234338190988e-09,1.4158108360399885e-27,99.99960660934448,7.674506113789125e-18,7.400882207422854e-11,0.00039328278944594786,1.4017958885684245e-11
15,1.4525456358549516e-09,4.766741311567478e-27,99.99978542327881,1.403244054536588e-17,5.899712576112881e-10,0.00021818118511873763,7.04738459429699e-11
16,2.7918056755282805e-09,1.6789064382308617e-26,99.9998927116394,3.101039628879008e-17,1.3262372970668235e-09,0.00010529656719882041,1.0940288388758268e-10
17,5.941414027432756e-10,1.6454224609589883e-27,99.99994039535522,7.683466160033693e-18,7.695539518126626e-10,5.863132628292078e-05,6.215853569704888e-11
18,1.9600791476004353e-09,5.2225646932005266e-27,99.99996423721313,1.1515084372122665e-17,7.179671353968464e-10,3.474444838502677e-05,7.101816964366625e-11
19,2.522091563372797e-09,8.311574564359151e-27,99.99995231628418,1.1707847181650784e-17,5.372383527629809e-10,4.59130347962855e-05,5.7853987442749166e-11
20,1.1775715125228459e-08,2.117834418870841e-25,99.99996423721313,4.2004738153567934e-17,2.4602302833853784e-09,3.5923636687584803e-05,2.8000559770119393e-10
21,2.1876656042252307e-08,3.38228850901172e-25,99.99994039535522,4.56820574546125e-17,4.9001292606876135e-09,5.6798876357788686e-05,5.468603000990946e-10
22,1.0788289706020748e-08,2.1155242659025485e-25,99.99992847442627,4.158160425097409e-17,2.113315425433804e-09,7.057996072035166e-05,3.0336104722000767e-10
23,1.5252117145749592e-08,2.340705097482172e-25,99.99982714651985,5.366867558335215e-17,3.0823099383739445e-09,0.00017369467185131182,5.609343619344223e-10
24,4.442804457660543e-08,4.731573842820029e-25,99.99998807907104,1.1995106328875136e-16,1.760463302913351e-08,1.3468284976170253e-05,1.941494187640558e-09
25,8.738459782600669e-09,4.044811347272395e-26,99.99997019767584,1.9786232517453674e-17,2.4506856339481055e-09,3.212187116800028e-05,1.9507578140126744e-10
26,6.964010618171201e-09,1.821936588515752e-26,99.99996423721313,7.787900297307927e-18,6.63111189222465e-10,3.301235267372249e-05,4.3231081691894047e-11
27,1.2757893352866034e-08,3.126590060680967e-26,99.99997615814209,8.776169810511682e-18,1.2686448246090887e-09,2.8213412406330463e-05,4.52377474672791e-11
28,1.14756058822163e-08,4.961311574020669e-26,99.99997615814209,1.757013434395091e-17,1.0127278356197866e-09,2.7490392540130415e-05,6.854286018972977e-11
29,7.82214640282497e-09,1.2798012721628419e-26,99.99997615814209,7.205846258231893e-18,8.096655290668053e-10,2.9192210604378488e-05,3.593408665243658e-11
30,1.5609904577884994e-08,5.184416904101161e-26,99.9999821186055,1.278704463962183e-17,1.8082741244162846e-09,1.9740573731012993e-05,7.029020796861718e-11
31,1.3701140222366348e-08,4.875215283269268e-26,99.99996423721313,1.3569688568839867e-17,1.6119635140587896e-09,3.812795341673336e-05,9.809063283849895e-11
32,7.1737398078944e-08,3.495531472161657e-25,99.99999403953517,5.061601704956086e-17,6.5359235811243425e-09,7.961603407031036e-06,4.641871799253122e-10
